-3.5527136788e-15	0.96906	0.76207
0.3	0.92091	0.7107
0.6	0.87362	0.66346
0.9	0.82401	0.61139
1.2	0.77484	0.56539
1.5	0.72783	0.51556
1.8	0.68047	0.46513
2.1	0.63265	0.41759
2.4	0.58557	0.37208
2.7	0.53546	0.32143
3.0	0.48922	0.28537
3.3	0.44184	0.2736
3.6	0.39159	0.26212
3.9	0.34555	0.24958
4.2	0.30032	0.23717
4.5	0.28444	0.22541
4.8	0.27032	0.21257
5.1	0.25909	0.20049
5.4	0.24763	0.18866
5.7	0.23578	0.17737
6.0	0.2234	0.16521
6.3	0.21166	0.15415
6.6	0.19885	0.14233
6.9	0.18665	0.12977
7.2	0.17551	0.11751
7.5	0.16269	0.10575
7.8	0.14933	0.09355
8.1	0.13817	0.08103
8.4	0.12733	0.06963
8.7	0.11475	0.05703
9.0	0.10236	0.04513
9.3	0.09236	0.03235
9.6	0.07951	0.02036
9.9	0.06714	0.00783
10.2	0.05603	0.00026
10.5	0.04396	0.00016
